,RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY
139,-53.418,-50.56100000000001,-49.843999999999994,180.546,144.127,136.202,153.42,138.317
140,-53.418,-50.56100000000001,-49.843999999999994,180.546,144.127,136.202,155.46200000000002,140.79
141,-52.398999999999994,-50.56100000000001,-49.843999999999994,166.608,144.127,136.202,155.22799999999998,140.30100000000002
142,-52.23,-50.56100000000001,-49.843999999999994,164.398,144.127,136.202,154.716,139.469
143,-52.23,-50.372,-49.843999999999994,164.398,141.996,136.202,154.345,139.07399999999998
144,-52.23,-50.206,-49.843999999999994,164.398,140.148,136.202,154.088,139.012
145,-51.718,-50.206,-49.843999999999994,157.893,140.148,136.202,152.983,137.805
146,-51.994,-50.206,-49.843999999999994,161.37,140.148,136.202,152.47799999999998,137.355
147,-51.994,-50.786,-49.843999999999994,161.37,146.71,136.202,151.787,135.924
148,-51.994,-50.786,-49.843999999999994,161.37,146.71,136.202,151.179,134.666
149,-51.994,-50.812,-49.843999999999994,161.37,147.01,136.202,150.634,133.512
150,-51.753,-50.812,-49.843999999999994,158.328,147.01,136.202,149.746,131.96200000000002
151,-51.753,-50.812,-49.843999999999994,158.328,147.01,136.202,148.967,130.6
152,-51.753,-50.812,-49.843999999999994,158.328,147.01,136.202,148.281,129.403
153,-51.177,-50.812,-49.843999999999994,151.30700000000002,147.01,136.202,146.768,127.155
154,-51.277,-50.812,-49.843999999999994,152.499,147.01,136.202,145.589,125.37799999999999
155,-51.277,-50.956,-49.843999999999994,152.499,148.686,136.202,144.488,123.54299999999999
156,-51.277,-50.956,-49.843999999999994,152.499,148.686,136.202,143.52,121.931
157,-50.638000000000005,-50.956,-49.843999999999994,145.009,148.686,136.202,141.736,119.287
158,-51.166000000000004,-50.956,-49.843999999999994,151.173,148.686,136.202,140.93200000000002,117.96799999999999
159,-51.166000000000004,-51.203,-49.843999999999994,151.173,151.615,136.202,140.111,116.325
160,-51.166000000000004,-51.203,-49.843999999999994,151.173,151.615,136.202,139.389,114.881
161,-51.166000000000004,-51.178999999999995,-49.843999999999994,151.173,151.321,136.202,138.766,113.66
162,-51.50899999999999,-51.178999999999995,-49.843999999999994,155.317,151.321,136.202,138.751,113.286
163,-51.50899999999999,-51.178999999999995,-49.843999999999994,155.317,151.321,136.202,138.738,112.95700000000001
164,-51.50899999999999,-51.178999999999995,-49.843999999999994,155.317,151.321,136.202,138.726,112.66799999999999
165,-52.174,-51.178999999999995,-49.843999999999994,163.674,151.321,136.202,139.833,113.881
166,-52.174,-50.915,-49.843999999999994,163.674,148.207,136.202,140.929,115.46
167,-52.174,-50.915,-49.843999999999994,163.674,148.207,136.202,141.891,116.848
168,-52.174,-50.915,-49.843999999999994,163.674,148.207,136.202,142.737,118.06700000000001
169,-52.637,-50.915,-49.843999999999994,169.761,148.207,136.202,144.332,120.256
170,-52.637,-50.562,-49.843999999999994,169.761,144.141,136.202,145.889,122.834
171,-52.637,-50.562,-49.843999999999994,169.761,144.141,136.202,147.25799999999998,125.1
172,-52.637,-50.562,-49.843999999999994,169.761,144.141,136.202,148.461,127.09200000000001
173,-52.802,-50.562,-49.843999999999994,171.984,144.141,136.202,149.83700000000002,129.261
174,-52.802,-50.736000000000004,-49.843999999999994,171.984,146.132,136.202,150.971,130.849
175,-52.802,-50.888999999999996,-49.843999999999994,171.984,147.906,136.202,151.899,131.958
176,-52.802,-50.888999999999996,-49.843999999999994,171.984,147.906,136.202,152.715,132.933
177,-52.826,-50.888999999999996,-49.843999999999994,172.31,147.906,136.202,153.47899999999998,133.851
178,-53.089,-50.888999999999996,-49.843999999999994,175.923,147.906,136.202,154.678,135.351
179,-53.089,-50.888999999999996,-49.843999999999994,175.923,147.906,136.202,155.732,136.668
180,-53.089,-50.888999999999996,-49.843999999999994,175.923,147.906,136.202,156.658,137.827
181,-52.836000000000006,-50.888999999999996,-49.843999999999994,172.45,147.906,136.202,156.966,138.18
